Epoch,Train Accuracy,Validation Accuracy,Train Loss,Validation Loss
1,0.304773092,0.4250848,1.709854126,1.578348756
2,0.28125,0.377777785,1.674691439,1.669211149
3,0.419279665,0.493580431,1.494337082,1.367712975
4,0.375,0.555555582,1.479401827,1.36563766
5,0.466034502,0.536882281,1.386543036,1.262283206
6,0.515625,0.51111114,1.308107853,1.29954195
7,0.501932323,0.558624029,1.30832541,1.205394268
8,0.484375,0.555555582,1.332825422,1.226353168
9,0.524981081,0.570736408,1.246869564,1.169461846
10,0.515625,0.555555582,1.327034712,1.243700027
11,0.546655238,0.597020328,1.192016602,1.112165809
12,0.578125,0.466666669,1.240269661,1.38802588
13,0.565879107,0.618095934,1.148187876,1.051739454
14,0.5,0.688888907,1.325219631,0.986754119
15,0.584525287,0.640746117,1.105885267,1.006663084
16,0.671875,0.733333349,1.104039907,0.827749789
17,0.599764943,0.653221905,1.064158678,0.966632366
18,0.53125,0.600000024,1.050678015,1.191040158
19,0.616000652,0.658975303,1.030366778,0.960377991
20,0.6875,0.51111114,0.820915759,1.139821529
21,0.627793908,0.659217536,0.992973149,0.950944662
22,0.703125,0.600000024,0.953301609,0.994026184
23,0.646479964,0.689801335,0.954563379,0.878046632
24,0.671875,0.75555557,0.993115187,0.672986448
25,0.661978543,0.685259223,0.916791916,0.882054329
26,0.65625,0.555555582,0.891499341,1.003108025
27,0.674847603,0.68786335,0.882612348,0.880008757
28,0.65625,0.75555557,0.857685685,0.765174091
29,0.689509571,0.707243204,0.844859302,0.831291676
30,0.578125,0.75555557,1.05712676,0.730400026
31,0.703016043,0.721051335,0.80820334,0.798812985
32,0.65625,0.688888907,0.942984819,0.824988484
33,0.718016624,0.737948179,0.774552464,0.763585687
34,0.765625,0.888888896,0.736437798,0.514849961
35,0.732280195,0.751332343,0.739037156,0.721456587
36,0.671875,0.800000012,0.87552309,0.580851853
37,0.748217046,0.761082828,0.703720987,0.694693923
38,0.78125,0.777777791,0.641007602,0.751057625
39,0.753735185,0.767260194,0.675596535,0.686258614
40,0.78125,0.711111128,0.714010417,0.791776717
41,0.770449042,0.771196723,0.639924407,0.697221935
42,0.75,0.75555557,0.61255312,0.615292549
43,0.779254138,0.794331372,0.612069845,0.627309918
44,0.8125,0.777777791,0.556472838,0.648533404
45,0.791784525,0.801659405,0.581163526,0.61035496
46,0.734375,0.844444454,0.607616901,0.59235996
47,0.801406443,0.809895813,0.555095196,0.600041807
48,0.859375,0.777777791,0.427790403,0.691547096
49,0.81011194,0.825460255,0.53369689,0.555965424
50,0.859375,0.822222233,0.504022419,0.591795206
51,0.82027173,0.823280036,0.502518058,0.576679647
52,0.859375,0.800000012,0.439795017,0.583554208
53,0.829495192,0.835816383,0.480950892,0.539642036
54,0.875,0.866666675,0.359078348,0.623778999
55,0.838380039,0.841085255,0.456157923,0.527764976
56,0.78125,0.733333349,0.488246232,0.832450867
57,0.8458305,0.847262621,0.436525762,0.51537782
58,0.859375,0.911111116,0.412648082,0.375300854
59,0.852065802,0.855075121,0.417551249,0.499516696
60,0.875,0.911111116,0.299813151,0.381594688
61,0.860671759,0.860767901,0.398917794,0.474935293
62,0.859375,0.822222233,0.384474307,0.528068483
63,0.867126167,0.863493204,0.382121682,0.474591374
64,0.84375,0.911111116,0.390084416,0.267913789
65,0.867962897,0.863856614,0.371101856,0.482068956
66,0.84375,0.888888896,0.354836762,0.281323612
67,0.875453234,0.876574636,0.351428807,0.441433936
68,0.84375,0.955555558,0.466914117,0.195651814
69,0.880035043,0.876211226,0.338691682,0.447104752
70,0.765625,0.933333337,0.465519607,0.258452803
71,0.883939624,0.880147755,0.326738656,0.433215111
72,0.90625,0.822222233,0.219312027,0.639149785
73,0.891549468,0.883115292,0.309543341,0.42786935
74,0.859375,0.888888896,0.316453457,0.495753765
75,0.894258738,0.879299879,0.30094555,0.434490055
76,0.921875,0.866666675,0.235777259,0.514509082
77,0.897366405,0.885598361,0.292971134,0.431032836
78,0.859375,0.933333337,0.341484636,0.321213245
79,0.900852621,0.894561529,0.279102653,0.390987724
80,0.9375,0.844444454,0.247710735,0.549581766
81,0.904836833,0.885719478,0.27321133,0.418071598
82,0.890625,0.955555558,0.259927809,0.233234659
83,0.907486379,0.886325121,0.262831181,0.425196052
84,0.9375,0.888888896,0.203423709,0.5566715
85,0.912347078,0.886385679,0.250550389,0.436149299
86,0.890625,0.888888896,0.285589099,0.408750713
87,0.912845135,0.891109467,0.249787107,0.413591772
88,0.921875,0.911111116,0.207536981,0.189537466
89,0.916112185,0.888808131,0.240598455,0.429256171
90,0.9375,0.800000012,0.179587662,0.697007537
91,0.920176089,0.889716566,0.229009897,0.417151511
92,0.859375,0.866666675,0.364116609,0.568259656
93,0.923383415,0.890443325,0.22235395,0.420200288
94,0.953125,0.866666675,0.211925045,0.411051929
95,0.922925234,0.888323665,0.220903412,0.435141712
96,0.9375,0.911111116,0.146255016,0.301826596
97,0.924200177,0.896257281,0.217272878,0.395769656
98,0.96875,0.933333337,0.142355531,0.238885418
99,0.92874217,0.901102245,0.206511527,0.393803477
100,0.953125,0.933333337,0.152340397,0.241556421
